,text,emotion
276,Ne yapacağımı şaşırdım.,Üzüntü
277,Her şey çok zor geliyor.,Üzüntü
278,Kendimi kaybolmuş hissediyorum.,Üzüntü
279,Nereye gideceğimi bilmiyorum.,Üzüntü
280,İçimde derin bir yara var.,Üzüntü
281,Hiçbir şey eskisi gibi olmayacak.,Üzüntü
282,Artık gülmeyi unuttum.,Üzüntü
283,Hayata tutunmak çok zor.,Üzüntü
284,Kendimi çok güçsüz hissediyorum.,Üzüntü
285,Her şey çok karanlık.,Üzüntü
286,Neden hep ben?,Üzüntü
287,Hayat adil değil.,Üzüntü
288,"İçimde bir acı var, geçmek bilmiyor.",Üzüntü
289,Keşkelerim hiç bitmiyor.,Üzüntü
290,Hatıralar canımı yakıyor.,Üzüntü
291,Gelecekten umudum kalmadı.,Üzüntü
292,Her şey boşuna gibi geliyor.,Üzüntü
293,Kendimi değersiz hissediyorum.,Üzüntü
294,Kimseye derdimi anlatamıyorum.,Üzüntü
295,Konuşacak mecalim bile yok.,Üzüntü
296,Sadece yalnız kalmak istiyorum.,Üzüntü
297,Her şey çok karmaşık.,Üzüntü
298,Kendimi tükenmiş hissediyorum.,Üzüntü
299,Artık dayanamıyorum.,Üzüntü
300,Yaralarım kabuk bağlamıyor.,Üzüntü
301,Her şey çok anlamsız geliyor.,Üzüntü
302,İçimdeki yangın bir türlü sönmüyor.,Üzüntü
303,Kendimi unutmuş gibiyim.,Üzüntü
304,Hayata küstüm artık.,Üzüntü
305,Kalbim sıkışıyor.,Üzüntü
306,Boynum bükük.,Üzüntü
307,Dizlerimde derman kalmadı.,Üzüntü
308,Sanki üzerime dünyalar yıkıldı.,Üzüntü
309,Benden geçti.,Üzüntü
310,Bu yükü taşımakta zorlanıyorum.,Üzüntü
311,Bugün hava oldukça sakin.,Nötr
312,Saat kaç acaba?,Nötr
313,Bu masa boş mu?,Nötr
314,Kahvemi şekersiz alabilir miyim?,Nötr
315,Otobüs ne zaman gelecek?,Nötr
316,Hava durumu nasıl?,Nötr
317,Bir bardak su alabilir miyim?,Nötr
318,Bu adresi biliyor musunuz?,Nötr
319,Burası neresi?,Nötr
320,Saat tam 3.,Nötr
321,Kitap okumayı severim.,Nötr
322,Çalışmak gerekiyor.,Nötr
323,Yemek yiyeceğim.,Nötr
324,Yürüyüş yapacağım.,Nötr
325,Müzik dinliyorum.,Nötr
326,Film izliyorum.,Nötr
327,Uyuyacağım.,Nötr
328,Dinleniyorum.,Nötr
329,Düşünüyorum.,Nötr
330,Plan yapıyorum.,Nötr
331,Evdeyim.,Nötr
332,İşteyim.,Nötr
333,Okuldayım.,Nötr
334,Parktayım.,Nötr
335,Marketteyim.,Nötr
336,Arabayla gidiyorum.,Nötr
337,Yürüyerek gidiyorum.,Nötr
338,Bisikletle gidiyorum.,Nötr
339,Koşarak gidiyorum.,Nötr
340,Bekliyorum.,Nötr
341,Hazırlanıyorum.,Nötr
342,Temizlik yapıyorum.,Nötr
343,Alışveriş yapıyorum.,Nötr
344,Ödeme yapıyorum.,Nötr
345,Telefonla konuşuyorum.,Nötr
346,Mesaj yazıyorum.,Nötr
347,Mail atıyorum.,Nötr
348,İnternette geziniyorum.,Nötr
349,Oyun oynuyorum.,Nötr
350,Ders çalışıyorum.,Nötr
351,Toplantıya katılıyorum.,Nötr
352,Sunum yapıyorum.,Nötr
353,Rapor yazıyorum.,Nötr
354,Kod yazıyorum.,Nötr
355,Tasarım yapıyorum.,Nötr
356,Müşteriyle görüşüyorum.,Nötr
357,Ekiple çalışıyorum.,Nötr
358,Proje yönetiyorum.,Nötr
359,Planları inceliyorum.,Nötr
360,Verileri analiz ediyorum.,Nötr
361,Hava bugün 25 derece.,Nötr
362,Bu kalem mavi renk.,Nötr
363,Oda sıcaklığı normal.,Nötr
364,Yarın tatil olacak.,Nötr
365,Saatler değişti.,Nötr
366,Trafik yoğundu.,Nötr
367,Elektrikler kesildi.,Nötr
368,Su aktı.,Nötr
369,Kapı çaldı.,Nötr
370,Telefon çaldı.,Nötr
371,Ekran karardı.,Nötr
372,Ses geldi.,Nötr
373,Işık yandı.,Nötr
374,Düğme basıldı.,Nötr
375,Tuşa basıldı.,Nötr
376,Dosya açıldı.,Nötr
377,Program çalıştı.,Nötr
378,İnternet bağlandı.,Nötr
379,Pil doldu.,Nötr
380,Bellek doldu.,Nötr
381,Banka hesabım var.,Nötr
382,Arabam var.,Nötr
383,Evim var.,Nötr
384,Kedim var.,Nötr
385,Köpeğim var.,Nötr
386,Param var.,Nötr
387,Zamanım var.,Nötr
388,Enerjim var.,Nötr
389,Fikrim var.,Nötr
390,Planım var.,Nötr
391,Bilgisayarım var.,Nötr
392,Telefonum var.,Nötr
393,Kitabım var.,Nötr
394,Defterim var.,Nötr
395,Kalemim var.,Nötr
396,Maaşım yatmadı.,Nötr
397,Faturalar ödendi.,Nötr
398,Vergiler ödendi.,Nötr
399,Borçlar ödendi.,Nötr
400,Kredi kartı ekstresi geldi.,Nötr
401,Bütçe planlaması yapıldı.,Nötr
402,Yatırım yapıldı.,Nötr
403,Tasarruf yapılıyor.,Nötr
404,Harcamalar kontrol ediliyor.,Nötr
405,Gelir gider dengesi sağlanıyor.,Nötr
406,Dolar yükseldi.,Nötr
407,Euro düştü.,Nötr
408,Enflasyon arttı.,Nötr
409,Faizler değişti.,Nötr
410,Piyasa dalgalı.,Nötr
411,Yıl 2024.,Nötr
412,Günlerden Pazartesi.,Nötr
413,Ay Şubat.,Nötr
414,Mevsim kış.,Nötr
415,Doğum günüm yaklaşıyor.,Nötr
416,Evlilik yıldönümümüz var.,Nötr
417,Sınav haftası geldi.,Nötr
418,Yeni yıl kutlaması yapıldı.,Nötr
419,Ramazan başladı.,Nötr
420,Kurban Bayramı geldi.,Nötr
421,"İçimde kelebekler uçuşuyor, mutluluktan havalara uçacağım!",Mutluluk
422,"Gülmekten karnıma ağrılar girdi, bu neşeli halim hiç geçmesin.",Mutluluk
423,"Hayatımın en güzel günlerini yaşıyorum, her şey mükemmel!",Mutluluk
424,"Kalbim sevinçle dolup taşıyor, sanki bir bayram sabahı.",Mutluluk
425,"Gözlerim parlıyor, yüzümde kocaman bir gülümseme var.",Mutluluk
426,"İçim içime sığmıyor, bu mutluluğu herkese duyurmak istiyorum.",Mutluluk
427,"Dünya bugün bambaşka, her şey daha güzel görünüyor.",Mutluluk
428,"Enerjim tavan yaptı, yerimde duramıyorum.",Mutluluk
429,"Kendimi çok şanslı hissediyorum, her şey yolunda gidiyor.",Mutluluk
430,"Hayatımın anlamını buldum, artık daha mutluyum.",Mutluluk
431,"Güneş içime doğdu, her şey aydınlandı.",Mutluluk
432,Mutluluktan ağlayacağım neredeyse.,Mutluluk
433,"Bugün çok güzel bir haber aldım, sevinçten delireceğim.",Mutluluk
434,"İçim huzurla doldu, sanki tüm dertlerim bitti.",Mutluluk
435,"Gülmek en güzel ilaç, bugün bol bol gülüyorum.",Mutluluk
436,"Kendimi yeniden doğmuş gibi hissediyorum, hayat yeniden başladı.",Mutluluk
437,"Her şey o kadar güzel ki, sanki bir rüya görüyorum.",Mutluluk
438,"Kalbim pır pır ediyor, heyecandan yerimde duramıyorum.",Mutluluk
439,"Bugün kendime bir hediye aldım, çok mutlu oldum.",Mutluluk
440,"Sevdiklerimle bir aradayım, bundan daha güzel ne olabilir ki?",Mutluluk
441,"Beklediğim güzel haber geldi, mutluluktan uçuyorum.",Mutluluk
442,"İçimdeki çocuk yeniden uyandı, oyun oynamak istiyorum.",Mutluluk
443,"Başarılarımla gurur duyuyorum, çok mutluyum.",Mutluluk
444,"Hayatın tadını çıkarıyorum, her anı dolu dolu yaşıyorum.",Mutluluk
